Surah Number,Ayah Number,URL to Recording,Age,Country,Gender,Qiraah,Recitation Mode,Timestamp of Recording Submission,Has This Recording Been Evaluated?
17,13,www.tarteel.io/media/17_13_1071922460.wav,-1,N/A,N/A,N/A,discrete,2018-09-23 12:49:06.017316+00:00,False
42,28,www.tarteel.io/media/42_28_1096109526.wav,-1,N/A,N/A,N/A,continuous,2018-11-30 02:30:34.301788+00:00,False
84,8,www.tarteel.io/media/84_8_885598010.wav,-1,N/A,N/A,N/A,continuous,2018-11-29 21:46:00.423942+00:00,False
110,3,www.tarteel.io/media/110_3_2501579911.wav,-1,N/A,N/A,N/A,continuous,2018-10-18 20:16:05.334561+00:00,False
23,1,www.tarteel.io/media/23_1_2629084617.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 02:18:19.811893+00:00,False
51,11,www.tarteel.io/media/51_11_2200762974.wav,-1,N/A,N/A,N/A,continuous,2018-12-21 23:53:02.899150+00:00,False
70,22,www.tarteel.io/media/70_22_4115769896.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 08:19:37.287432+00:00,False
32,17,www.tarteel.io/media/32_17_2925953879.wav,-1,N/A,N/A,N/A,continuous,2018-12-12 21:50:37.976262+00:00,False
65,4,www.tarteel.io/media/65_4_3487928192.wav,-1,N/A,N/A,N/A,continuous,2018-09-30 11:23:07.497254+00:00,False
32,26,www.tarteel.io/media/32_26_2658412853.wav,-1,N/A,N/A,N/A,,2018-09-04 17:35:47.470933+00:00,False
4,115,www.tarteel.io/media/4_115_1320084086.wav,-1,N/A,N/A,N/A,discrete,2018-11-25 01:31:24.109328+00:00,False
7,185,www.tarteel.io/media/7_185_1648353919.wav,-1,N/A,N/A,N/A,continuous,2018-11-27 02:30:28.480609+00:00,False
43,69,www.tarteel.io/media/43_69_2853131920.wav,-1,N/A,N/A,N/A,continuous,2018-12-21 03:27:45.338388+00:00,False
15,73,www.tarteel.io/media/15_73_4099608616.wav,-1,N/A,N/A,N/A,,2018-08-28 17:37:22.815784+00:00,False
75,28,www.tarteel.io/media/75_28_3035716332.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 22:45:14.588228+00:00,False
37,39,www.tarteel.io/media/37_39_102307644.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 21:59:52.876696+00:00,False
18,54,www.tarteel.io/media/18_54_1303974911.wav,13-18,PK,female,hafs,continuous,2018-12-21 18:20:44.324810+00:00,False
91,3,www.tarteel.io/media/91_3_993666011.wav,13,AF,female,,,2018-08-22 22:14:17.591118+00:00,False
7,182,www.tarteel.io/media/7_182_1406673813.wav,19,US,male,Hafs,discrete,2018-11-23 23:38:59.733177+00:00,False
7,124,www.tarteel.io/media/7_124_864954406.wav,-1,N/A,N/A,N/A,continuous,2018-11-27 02:18:07.723740+00:00,False
8,67,www.tarteel.io/media/8_67_482922540.wav,19,EG,female,Hafs,discrete,2018-11-28 05:33:36.029540+00:00,False
79,34,www.tarteel.io/media/79_34_4169414990.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 23:27:37.181333+00:00,False
81,7,www.tarteel.io/media/81_7_3032259933.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 22:33:11.069024+00:00,False
3,63,www.tarteel.io/media/3_63_2093365625.wav,26,EG,male,Hafs,discrete,2018-12-22 20:26:22.613421+00:00,False
112,3,www.tarteel.io/media/112_3_534486964.wav,-1,N/A,N/A,N/A,continuous,2018-12-04 00:46:37.124740+00:00,False
44,50,www.tarteel.io/media/44_50_554138628.wav,-1,N/A,N/A,N/A,continuous,2018-12-14 01:43:46.440094+00:00,False
18,42,www.tarteel.io/media/18_42_3344322688.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 01:16:10.906000+00:00,False
53,1,www.tarteel.io/media/53_1_189297796.wav,-1,N/A,N/A,N/A,,2018-09-03 03:16:34.485227+00:00,False
36,72,www.tarteel.io/media/36_72_3834745360.wav,-1,N/A,N/A,N/A,continuous,2018-12-19 16:29:49.058485+00:00,False
7,72,www.tarteel.io/media/7_72_2900422754.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 19:16:00.832472+00:00,False
78,16,www.tarteel.io/media/78_16_2906458080.wav,-1,N/A,N/A,N/A,,2018-08-22 23:41:48.239639+00:00,False
49,15,www.tarteel.io/media/49_15_4152137304.wav,-1,N/A,N/A,N/A,continuous,2018-09-30 20:22:28.597377+00:00,False
3,9,www.tarteel.io/media/3_9_3362333315.wav,-1,N/A,N/A,N/A,continuous,2018-12-10 01:38:33.846087+00:00,False
21,13,www.tarteel.io/media/21_13_4177879486.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 01:50:33.500456+00:00,False
56,24,www.tarteel.io/media/56_24_1326014879.wav,-1,N/A,N/A,N/A,,2018-09-03 06:24:05.429127+00:00,False
38,28,www.tarteel.io/media/38_28_2232508813.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 00:43:07.786880+00:00,False
55,45,www.tarteel.io/media/55_45_1620271905.wav,-1,N/A,N/A,N/A,,2018-09-03 06:17:16.831586+00:00,False
38,70,www.tarteel.io/media/38_70_3530361680.wav,-1,N/A,N/A,N/A,,2018-08-31 15:37:18.606317+00:00,False
14,34,www.tarteel.io/media/14_34_3209965748.wav,-1,N/A,N/A,N/A,,2018-08-30 19:14:32.682503+00:00,False
7,78,www.tarteel.io/media/7_78_4276599523.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 19:18:01.155144+00:00,False
5,116,www.tarteel.io/media/5_116_1922945702.wav,-1,N/A,N/A,N/A,continuous,2018-12-28 22:56:07.083947+00:00,False
2,96,www.tarteel.io/media/2_96_1081369134.wav,-1,N/A,N/A,N/A,continuous,2018-09-09 21:38:13.112511+00:00,False
76,6,www.tarteel.io/media/76_6_1908967214.wav,-1,N/A,N/A,N/A,continuous,2018-11-01 14:53:59.506444+00:00,False
1,2,www.tarteel.io/media/1_2_261793687.wav,19,IN,female,notsure,discrete,2018-11-23 02:48:00.159417+00:00,False
15,90,www.tarteel.io/media/15_90_806145329.wav,-1,N/A,N/A,N/A,,2018-09-02 18:31:43.530098+00:00,False
2,143,www.tarteel.io/media/2_143_378818792.wav,-1,N/A,N/A,N/A,discrete,2018-09-15 00:14:01.797565+00:00,False
79,34,www.tarteel.io/media/79_34_1627860313.wav,-1,N/A,N/A,N/A,continuous,2018-10-28 06:27:23.227798+00:00,False
36,68,www.tarteel.io/media/36_68_2150845447.wav,-1,N/A,N/A,N/A,,2018-08-31 13:06:43.405369+00:00,False
7,31,www.tarteel.io/media/7_31_355451107.wav,-1,N/A,N/A,N/A,continuous,2018-12-19 12:07:17.267301+00:00,False
23,4,www.tarteel.io/media/23_4_1417532330.wav,13-18,BD,male,Hafs,discrete,2018-11-24 00:37:31.537389+00:00,False
55,1,www.tarteel.io/media/55_1_4291351208.wav,-1,N/A,N/A,N/A,continuous,2018-10-03 07:29:28.897255+00:00,False
89,21,www.tarteel.io/media/89_21_497966159.wav,-1,N/A,N/A,N/A,continuous,2018-12-15 12:35:42.262058+00:00,False
42,6,www.tarteel.io/media/42_6_4048813284.wav,19,Arab,male,,,2018-08-07 07:49:02.851605+00:00,False
7,1,www.tarteel.io/media/7_1_469124850.wav,-1,N/A,N/A,N/A,continuous,2018-11-27 01:57:57.829882+00:00,False
67,11,www.tarteel.io/media/67_11_3659309903.wav,-1,N/A,N/A,N/A,continuous,2018-11-09 03:45:19.398503+00:00,False
21,106,www.tarteel.io/media/21_106_228366494.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 02:01:44.927878+00:00,False
69,43,www.tarteel.io/media/69_43_3758246560.wav,-1,N/A,N/A,N/A,,2018-09-04 01:05:58.600710+00:00,False
87,15,www.tarteel.io/media/87_15_3280672865.wav,-1,N/A,N/A,N/A,continuous,2018-10-18 16:50:50.905619+00:00,False
18,56,www.tarteel.io/media/18_56_3996170427.wav,46,SY,male,hafs,discrete,2018-11-23 01:12:26.241844+00:00,False
3,40,www.tarteel.io/media/3_40_3022495651.wav,-1,N/A,N/A,N/A,continuous,2018-10-18 14:48:13.085020+00:00,False
37,6,www.tarteel.io/media/37_6_2737606526.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 21:52:35.801893+00:00,False
12,76,www.tarteel.io/media/12_76_4150519511.wav,46,GB,male,Hafs,discrete,2018-12-15 18:42:14.945651+00:00,False
56,13,www.tarteel.io/media/56_13_4124554656.wav,-1,N/A,N/A,N/A,continuous,2018-11-27 14:10:57.232271+00:00,False
3,42,www.tarteel.io/media/3_42_4205284429.wav,-1,N/A,N/A,N/A,continuous,2018-12-14 19:30:27.748634+00:00,False
55,74,www.tarteel.io/media/55_74_636225945.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 11:59:17.700226+00:00,False
50,1,www.tarteel.io/media/50_1_1589147340.wav,-1,N/A,N/A,N/A,,2018-09-01 20:01:59.508642+00:00,False
40,29,www.tarteel.io/media/40_29_317280638.wav,-1,N/A,N/A,N/A,discrete,2018-12-09 19:54:35.103526+00:00,False
82,4,www.tarteel.io/media/82_4_1448356465.wav,-1,N/A,N/A,N/A,,2018-09-04 00:26:30.342467+00:00,False
4,86,www.tarteel.io/media/4_86_618837069.wav,-1,N/A,N/A,N/A,continuous,2018-11-25 21:08:00.314103+00:00,False
56,52,www.tarteel.io/media/56_52_2070548744.wav,-1,N/A,N/A,N/A,continuous,2018-09-22 15:25:15.860045+00:00,False
67,4,www.tarteel.io/media/67_4_4107803023.wav,-1,N/A,N/A,N/A,continuous,2018-12-02 01:06:41.776706+00:00,False
54,3,www.tarteel.io/media/54_3_1843155457.wav,-1,N/A,N/A,N/A,continuous,2018-12-22 00:17:57.379846+00:00,False
4,94,www.tarteel.io/media/4_94_3957701262.wav,-1,N/A,N/A,N/A,continuous,2018-11-25 21:39:24.119979+00:00,False
36,54,www.tarteel.io/media/36_54_3140801254.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 13:36:48.713319+00:00,False
24,47,www.tarteel.io/media/24_47_2569131655.wav,-1,N/A,N/A,N/A,discrete,2018-11-28 22:39:29.129946+00:00,False
22,16,www.tarteel.io/media/22_16_509527613.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 02:05:33.186898+00:00,False
4,174,www.tarteel.io/media/4_174_3664007880.wav,-1,N/A,N/A,N/A,continuous,2018-11-25 22:01:12.570641+00:00,False
18,71,www.tarteel.io/media/18_71_1392684484.wav,46,SY,male,hafs,discrete,2018-11-23 01:15:06.061489+00:00,False
24,20,www.tarteel.io/media/24_20_1815490603.wav,-1,N/A,N/A,N/A,,2018-08-30 18:16:31.556575+00:00,False
36,36,www.tarteel.io/media/36_36_2068167405.wav,-1,N/A,N/A,N/A,,2018-08-31 13:02:30.307207+00:00,False
38,41,www.tarteel.io/media/38_41_2654805472.wav,-1,N/A,N/A,N/A,continuous,2018-11-24 08:08:57.632268+00:00,False
75,37,www.tarteel.io/media/75_37_2303049557.wav,-1,N/A,N/A,N/A,continuous,2018-12-02 01:31:50.796321+00:00,False
2,148,www.tarteel.io/media/2_148_668038445.wav,-1,N/A,N/A,N/A,continuous,2018-12-11 13:21:45.703326+00:00,False
3,5,www.tarteel.io/media/3_5_3122697342.wav,19,SY,male,Hafs,continuous,2018-11-25 04:23:05.567763+00:00,False
20,25,www.tarteel.io/media/20_25_3198009469.wav,-1,N/A,N/A,N/A,continuous,2018-10-10 15:02:09.778021+00:00,False
31,21,www.tarteel.io/media/31_21_199106012.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 02:14:46.374534+00:00,False
7,58,www.tarteel.io/media/7_58_1304202357.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 00:41:16.315723+00:00,False
37,141,www.tarteel.io/media/37_141_3013499328.wav,26,BA,male,Hafs,discrete,2018-11-23 21:15:11.184547+00:00,False
101,3,www.tarteel.io/media/101_3_606365764.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 00:25:05.940654+00:00,False
83,19,www.tarteel.io/media/83_19_1556271471.wav,-1,N/A,N/A,N/A,continuous,2018-11-29 21:42:26.360101+00:00,False
18,107,www.tarteel.io/media/18_107_1468368932.wav,13-18,PK,female,hafs,continuous,2018-12-21 19:43:19.654160+00:00,False
70,28,www.tarteel.io/media/70_28_1231492536.wav,-1,N/A,N/A,N/A,continuous,2018-10-25 00:35:50.797649+00:00,False
19,12,www.tarteel.io/media/19_12_2840008233.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 01:24:18.901470+00:00,False
3,134,www.tarteel.io/media/3_134_1374559694.wav,-1,N/A,N/A,N/A,continuous,2018-12-27 01:29:22.112455+00:00,False
74,39,www.tarteel.io/media/74_39_3952968530.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 22:41:31.324088+00:00,False
19,4,www.tarteel.io/media/19_4_559505649.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 01:22:37.401513+00:00,False
94,5,www.tarteel.io/media/94_5_993472700.wav,-1,N/A,N/A,N/A,,2018-08-31 13:06:18.501761+00:00,False
68,2,www.tarteel.io/media/68_2_2402422651.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 08:06:14.926452+00:00,False
6,135,www.tarteel.io/media/6_135_1254311054.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 00:04:46.795767+00:00,False
60,10,www.tarteel.io/media/60_10_278222977.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 07:38:15.964916+00:00,False
12,49,www.tarteel.io/media/12_49_2889604139.wav,-1,N/A,N/A,N/A,continuous,2018-11-27 05:18:25.780589+00:00,False
30,18,www.tarteel.io/media/30_18_3706823981.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 01:56:31.539999+00:00,False
54,43,www.tarteel.io/media/54_43_2442534998.wav,-1,N/A,N/A,N/A,continuous,2018-12-22 00:22:16.556450+00:00,False
6,31,www.tarteel.io/media/6_31_3510248417.wav,-1,N/A,N/A,N/A,continuous,2018-11-25 22:56:12.790032+00:00,False
9,28,www.tarteel.io/media/9_28_2269685763.wav,19,US,male,Hafs,continuous,2018-11-26 21:49:37.465783+00:00,False
41,17,www.tarteel.io/media/41_17_970446069.wav,-1,N/A,N/A,N/A,continuous,2018-11-17 04:41:24.587792+00:00,False
43,11,www.tarteel.io/media/43_11_1475755388.wav,-1,N/A,N/A,N/A,continuous,2018-11-27 04:58:54.240153+00:00,False
53,23,www.tarteel.io/media/53_23_2182696798.wav,-1,N/A,N/A,N/A,continuous,2018-10-18 15:14:08.798774+00:00,False
18,89,www.tarteel.io/media/18_89_2974706748.wav,-1,N/A,N/A,N/A,continuous,2018-10-07 19:50:31.402612+00:00,False
29,38,www.tarteel.io/media/29_38_368155206.wav,26,AF,male,Hafs,discrete,2018-11-29 22:34:16.769029+00:00,False
78,34,www.tarteel.io/media/78_34_3323054162.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 23:23:25.769343+00:00,False
83,36,www.tarteel.io/media/83_36_3333769316.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 23:46:35.266997+00:00,False
2,70,www.tarteel.io/media/2_70_1138230328.wav,-1,N/A,N/A,N/A,discrete,2018-09-08 03:23:19.087257+00:00,False
38,41,www.tarteel.io/media/38_41_862782997.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 00:44:55.313193+00:00,False
7,27,www.tarteel.io/media/7_27_1993763793.wav,-1,N/A,N/A,N/A,continuous,2018-12-06 05:01:04.282702+00:00,False
58,19,www.tarteel.io/media/58_19_3356944885.wav,-1,N/A,N/A,N/A,,2018-08-30 17:35:43.314174+00:00,False
23,68,www.tarteel.io/media/23_68_1546014611.wav,-1,N/A,N/A,N/A,discrete,2018-11-25 08:21:44.524172+00:00,False
1,3,www.tarteel.io/media/1_3_1508971909.wav,-1,N/A,N/A,N/A,continuous,2018-10-18 20:17:54.798758+00:00,False
66,4,www.tarteel.io/media/66_4_1446299948.wav,-1,N/A,N/A,N/A,,2018-08-31 11:22:51.903598+00:00,False
14,14,www.tarteel.io/media/14_14_2747819814.wav,-1,N/A,N/A,N/A,,2018-08-31 19:32:02.002356+00:00,False
64,1,www.tarteel.io/media/64_1_2063818794.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 07:48:14.825280+00:00,False
1,4,www.tarteel.io/media/1_4_3430991274.wav,19,MA,female,notsure,continuous,2018-12-01 21:37:13.215808+00:00,False
74,49,www.tarteel.io/media/74_49_1512217679.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 22:42:23.084444+00:00,False
47,11,www.tarteel.io/media/47_11_2170867950.wav,-1,N/A,N/A,N/A,continuous,2018-12-21 04:39:58.846398+00:00,False
71,28,www.tarteel.io/media/71_28_3306695712.wav,-1,N/A,N/A,N/A,,2018-08-30 14:11:21.892190+00:00,False
4,154,www.tarteel.io/media/4_154_319649610.wav,-1,N/A,N/A,N/A,continuous,2018-11-25 21:55:57.725936+00:00,False
51,6,www.tarteel.io/media/51_6_3132959625.wav,-1,N/A,N/A,N/A,continuous,2018-09-23 21:18:25.055384+00:00,False
4,1,www.tarteel.io/media/4_1_177859176.wav,-1,N/A,N/A,N/A,continuous,2018-12-27 02:11:46.705956+00:00,False
66,5,www.tarteel.io/media/66_5_1341313612.wav,-1,N/A,N/A,N/A,continuous,2018-12-02 01:04:22.066950+00:00,False
26,194,www.tarteel.io/media/26_194_2832742818.wav,36,PS,male,Hafs,discrete,2018-11-30 05:45:01.626326+00:00,False
34,35,www.tarteel.io/media/34_35_577940795.wav,-1,N/A,N/A,N/A,discrete,2018-11-29 05:19:07.316550+00:00,False
36,81,www.tarteel.io/media/36_81_2370596842.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 13:24:38.559017+00:00,False
55,67,www.tarteel.io/media/55_67_3091588306.wav,-1,N/A,N/A,N/A,,2018-09-03 06:19:52.269126+00:00,False
83,23,www.tarteel.io/media/83_23_341504124.wav,-1,N/A,N/A,N/A,continuous,2018-12-02 01:48:07.714179+00:00,False
10,69,www.tarteel.io/media/10_69_1035864153.wav,26,PK,male,notsure,discrete,2018-11-23 14:50:13.583897+00:00,False
9,79,www.tarteel.io/media/9_79_557411422.wav,-1,N/A,N/A,N/A,continuous,2018-12-07 03:53:37.672306+00:00,False
31,29,www.tarteel.io/media/31_29_3610396052.wav,-1,N/A,N/A,N/A,continuous,2018-12-10 21:23:36.917982+00:00,False
29,62,www.tarteel.io/media/29_62_2074846403.wav,-1,N/A,N/A,N/A,discrete,2018-09-30 18:26:14.997384+00:00,False
7,62,www.tarteel.io/media/7_62_2765999239.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 00:41:58.716315+00:00,False
36,13,www.tarteel.io/media/36_13_2662604968.wav,13-18,PK,female,hafs,continuous,2018-12-19 17:27:53.018764+00:00,False
74,29,www.tarteel.io/media/74_29_1044698133.wav,-1,N/A,N/A,N/A,,2018-08-30 11:18:09.134720+00:00,False
68,25,www.tarteel.io/media/68_25_899274169.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 06:13:25.948639+00:00,False
3,184,www.tarteel.io/media/3_184_4072987786.wav,-1,N/A,N/A,N/A,continuous,2018-12-27 02:03:45.641879+00:00,False
81,23,www.tarteel.io/media/81_23_651618576.wav,-1,N/A,N/A,N/A,,2018-08-30 04:55:29.502762+00:00,False
34,26,www.tarteel.io/media/34_26_1889451895.wav,-1,N/A,N/A,N/A,discrete,2018-11-28 10:39:36.368346+00:00,False
21,105,www.tarteel.io/media/21_105_1123497645.wav,26,DZ,female,hafs,discrete,2018-11-23 17:57:29.371395+00:00,False
2,1,www.tarteel.io/media/2_1_748212358.wav,-1,N/A,N/A,N/A,continuous,2018-10-24 01:21:49.098390+00:00,False
24,11,www.tarteel.io/media/24_11_3699528421.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 15:05:29.424143+00:00,False
37,87,www.tarteel.io/media/37_87_2680999995.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 22:08:12.548483+00:00,False
105,1,www.tarteel.io/media/105_1_1691231931.wav,-1,N/A,N/A,N/A,,2018-09-03 06:26:07.224489+00:00,False
36,64,www.tarteel.io/media/36_64_2032749406.wav,-1,N/A,N/A,N/A,continuous,2018-11-13 14:24:14.898136+00:00,False
9,34,www.tarteel.io/media/9_34_423527900.wav,19,US,male,Hafs,continuous,2018-11-26 21:51:19.442236+00:00,False
42,31,www.tarteel.io/media/42_31_634062843.wav,-1,N/A,N/A,N/A,,2018-08-30 06:10:31.541074+00:00,False
4,29,www.tarteel.io/media/4_29_2400907260.wav,-1,N/A,N/A,N/A,continuous,2018-12-27 02:32:09.399049+00:00,False
20,21,www.tarteel.io/media/20_21_4201820311.wav,-1,N/A,N/A,N/A,continuous,2018-11-06 10:26:28.474751+00:00,False
14,40,www.tarteel.io/media/14_40_1400126440.wav,-1,N/A,N/A,N/A,discrete,2018-11-28 18:01:13.616777+00:00,False
86,17,www.tarteel.io/media/86_17_1478682731.wav,-1,N/A,N/A,N/A,,2018-08-30 09:31:39.282231+00:00,False
73,1,www.tarteel.io/media/73_1_3519940232.wav,-1,N/A,N/A,N/A,,2018-08-30 14:18:23.496179+00:00,False
18,15,www.tarteel.io/media/18_15_1240947496.wav,-1,N/A,N/A,N/A,,2018-09-01 02:46:17.717599+00:00,False
96,13,www.tarteel.io/media/96_13_2267021895.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 00:18:29.536545+00:00,False
104,9,www.tarteel.io/media/104_9_2279644197.wav,13-18,PK,male,Hafs,continuous,2018-12-29 05:35:28.869887+00:00,False
19,1,www.tarteel.io/media/19_1_3795253580.wav,13-18,PK,female,hafs,continuous,2018-12-21 19:44:11.095589+00:00,False
37,145,www.tarteel.io/media/37_145_1812778437.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 22:15:41.455131+00:00,False
31,6,www.tarteel.io/media/31_6_2637232447.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 02:11:32.802776+00:00,False
10,28,www.tarteel.io/media/10_28_3190395559.wav,-1,N/A,N/A,N/A,continuous,2018-10-02 15:36:08.497510+00:00,False
40,7,www.tarteel.io/media/40_7_568414514.wav,-1,N/A,N/A,N/A,discrete,2018-09-11 03:35:04.487451+00:00,False
40,12,www.tarteel.io/media/40_12_1638253491.wav,-1,N/A,N/A,N/A,continuous,2018-11-02 03:46:06.402564+00:00,False
18,105,www.tarteel.io/media/18_105_3390289169.wav,-1,N/A,N/A,N/A,continuous,2018-12-28 21:48:14.998223+00:00,False
16,12,www.tarteel.io/media/16_12_2230980780.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 18:24:42.892434+00:00,False
20,52,www.tarteel.io/media/20_52_2991604059.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 01:39:03.318579+00:00,False
84,10,www.tarteel.io/media/84_10_4175799737.wav,-1,N/A,N/A,N/A,continuous,2018-11-29 21:46:15.900665+00:00,False
42,27,www.tarteel.io/media/42_27_3662353199.wav,-1,N/A,N/A,N/A,continuous,2018-12-14 01:25:29.113024+00:00,False
7,4,www.tarteel.io/media/7_4_2668435911.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 00:20:57.953231+00:00,False
57,15,www.tarteel.io/media/57_15_1138829307.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 07:11:06.202022+00:00,False
71,18,www.tarteel.io/media/71_18_2022351039.wav,-1,N/A,N/A,N/A,,2018-08-30 14:09:07.168933+00:00,False
70,38,www.tarteel.io/media/70_38_737800906.wav,-1,N/A,N/A,N/A,,2018-08-22 18:31:17.718625+00:00,False
2,54,www.tarteel.io/media/2_54_776771113.wav,-1,N/A,N/A,N/A,continuous,2018-12-25 00:54:45.655288+00:00,False
9,21,www.tarteel.io/media/9_21_1540727229.wav,-1,N/A,N/A,N/A,continuous,2018-12-07 03:35:01.901059+00:00,False
96,9,www.tarteel.io/media/96_9_689009526.wav,-1,N/A,N/A,N/A,continuous,2018-10-18 20:05:26.498697+00:00,False
11,47,www.tarteel.io/media/11_47_2256610833.wav,36,Other,male,Hafs,discrete,2018-11-19 03:40:29.859991+00:00,False
18,17,www.tarteel.io/media/18_17_273917381.wav,19,PK,male,hafs,discrete,2018-12-28 18:06:03.202923+00:00,False
31,10,www.tarteel.io/media/31_10_1818438863.wav,-1,N/A,N/A,N/A,discrete,2018-12-01 21:49:30.408846+00:00,False
36,43,www.tarteel.io/media/36_43_3337940420.wav,-1,N/A,N/A,N/A,continuous,2018-11-13 14:21:57.997950+00:00,False
16,16,www.tarteel.io/media/16_16_2083922761.wav,-1,N/A,N/A,N/A,,2018-08-08 08:30:31.803348+00:00,False
4,82,www.tarteel.io/media/4_82_2596829459.wav,-1,N/A,N/A,N/A,continuous,2018-11-25 21:06:43.707448+00:00,False
17,47,www.tarteel.io/media/17_47_1506005460.wav,-1,N/A,N/A,N/A,,2018-08-08 08:32:18.271862+00:00,False
2,151,www.tarteel.io/media/2_151_2719383472.wav,46,GB,male,hafs,discrete,2018-11-26 20:36:42.271030+00:00,False
22,53,www.tarteel.io/media/22_53_1105566575.wav,-1,N/A,N/A,N/A,continuous,2018-11-28 02:12:28.100667+00:00,False
9,74,www.tarteel.io/media/9_74_3584143427.wav,19,US,male,Hafs,continuous,2018-11-26 22:37:55.996585+00:00,False
2,6,www.tarteel.io/media/2_6_2797423107.wav,-1,N/A,N/A,N/A,continuous,2018-12-02 02:31:13.465974+00:00,False
80,33,www.tarteel.io/media/80_33_602950429.wav,-1,N/A,N/A,N/A,continuous,2018-12-24 23:36:10.517893+00:00,False
3,20,www.tarteel.io/media/3_20_2907964465.wav,-1,N/A,N/A,N/A,continuous,2018-12-26 00:53:41.815020+00:00,False
